Path,Lines of code,Lines of code generated,Lines of user code, Percentage of generated code
/constructor3D,67,67,0,"100,00"
/constructor3D/META-INF,15,15,0,"100,00"
/constructor3D/bin,1,1,0,"100,00"
/constructor3D/bin/constructor3D,92,92,0,"100,00"
/constructor3D/bin/constructor3D/impl,344,344,0,"100,00"
/constructor3D/bin/constructor3D/util,85,85,0,"100,00"
/constructor3D/model,534,534,0,"100,00"
/constructor3D/src/constructor3D,1513,1513,0,"100,00"
/constructor3D/src/constructor3D/impl,2005,2005,0,"100,00"
/constructor3D/src/constructor3D/util,467,467,0,"100,00"
